timestamp,temperature
1713960600.0,25.5
1713960601.0,25.6
1713960602.0,25.7
1713960603.0,25.8
1713960604.0,25.9
1713960605.0,26.0
1713960606.0,26.1
1713960607.0,26.2
1713960608.0,26.1
1713960609.0,26.0
1713960610.0,25.9
1713960611.0,25.8
1713960612.0,25.7
1713960613.0,25.6
1713960614.0,25.5
1713960615.0,25.4
1713960616.0,25.3
1713960617.0,25.2
1713960618.0,25.3
1713960619.0,25.4
1713960620.0,25.5
1713960621.0,25.6
1713960622.0,25.7
1713960623.0,25.8
1713960624.0,25.9
1713960625.0,26.0
1713960626.0,26.1
1713960627.0,26.2
1713960628.0,26.3
1713960629.0,26.4
1777044735.9379525,27.3481
1777044737.0909371,27.3481
1777044738.243887,27.3481
1777044739.3967888,27.3481
1777044740.5497997,27.3481
1777044741.7027202,27.3481
1777044742.8556175,27.3481
1777044744.0085819,27.2856
1777044745.161378,27.3481
1777044746.3143752,27.2856
1777044747.4670377,27.4106
1777044748.620102,27.3481
1777044749.7728667,27.3481
1777044750.9257994,27.2856
1777044752.0786285,27.3481
1777044753.2315726,27.2856
1777044754.3843818,27.3481
1777044755.5375843,27.2856
1777044756.6900523,27.3481
1777044757.8430614,27.3481
1777044758.9962032,27.2856
1777044760.1488466,27.3481
1777044761.3018684,27.3481
1777044762.454593,27.2856
1777044763.6074083,27.2856
1777044764.760348,27.3481
1777044765.9132407,27.2856
1777044767.0660877,27.2856
1777044768.2188487,27.3481
1777044769.371709,27.2856
1777044770.5251656,27.2856
1777044771.6774986,27.3481
1777044772.8301818,28.1606
1777044773.9831192,28.7231
1777044775.1360285,29.2856
1777044776.2892492,29.2856
1777044777.4418204,30.3481
1777044778.5947666,31.7856
1777044779.746642,31.0356
1777044780.8993251,31.4106
1777044782.051953,32.7856
1777044783.2037494,32.0356
1777044784.356241,25.3392
1777044785.508536,32.9731
1777044786.6614711,31.7231
1777044787.8145518,31.4731
1777044788.9674058,31.2856
1777044790.1200767,31.0356
1777044791.2728786,31.9106
1777044792.425721,30.7231
1777044793.5788078,30.5356
1777044794.7315254,30.4106
1777044795.884324,30.2856
1777044797.0370972,30.1606
1777044798.1899853,30.9731
1777044799.342752,30.9106
1777044800.4952333,30.7856
1777044801.6474235,29.6606
1777044802.8003335,29.5356
1777045052.9100451,28.9731
1777045054.062709,28.0356
1777045055.2150826,28.0356
1777045056.3674886,28.0356
1777045057.5199587,28.0356
1777045058.6723661,28.0356
1777045059.8247366,28.0356
1777045060.9771197,28.0356
1777045062.1298902,28.0981
1777045063.2823927,28.0356
1777045064.4347823,28.0356
1777045065.5875323,28.0981
1777045066.739979,28.0356
1777045067.8926523,28.0981
1777045069.045193,28.0356
1777045070.1977165,28.0981
1777045071.350525,28.2231
1777045072.503483,28.4106
1777045073.656244,28.4106
1777045074.8089445,25.3392
1777045075.9614315,31.9731
1777045077.1141894,31.6606
1777045078.266884,32.9106
1777045079.4196966,31.6606
1777045080.572721,31.4731
1777045081.7255766,31.4106
1777045082.878545,31.8481
1777045084.031313,31.9106
1777045085.184224,30.5981
1777045086.3369956,30.4106
1777045087.4899905,30.2856
1777045088.6425967,31.7856
1777045089.794834,30.5356
1777045090.9475434,30.1606
1777045092.1006997,30.9731
1777045093.2531207,30.7856
1777045094.4054892,29.7231
1777045095.5583572,29.6606
1777045096.7113564,29.5981
1777045097.864371,29.5356
1777045099.0171154,29.5356
1777045100.1701915,29.4731
1777045101.323183,29.4731
1777045102.4760668,29.4106
1777045103.6289494,29.4106
1777045104.7818558,29.3481
1777045105.9346464,29.2856
1777045107.087535,29.2856
1777045108.240243,29.1606
1777045109.3928943,29.0981
1777045110.545814,29.0981
1777045111.6986942,29.0981
1777045112.8513193,29.0356
1777045114.0038002,29.0356
1777045115.1561759,29.0356
1777045116.3085837,29.0356
1777045117.461153,29.0356
1777045118.6135242,29.0356
1777045119.7658985,29.0356
1777045120.9187324,29.9731
1777045122.071563,29.9731
1777045123.2243583,29.9731
1777045124.377278,29.9731
1777045125.5300817,29.9731
1777045126.6830387,29.9106
1777045127.8356755,29.9106
1777045128.9882853,29.8481
1777045130.1408944,29.8481
1777045131.2935858,29.7856
1777045132.4456832,29.7856
1777045133.5977552,29.7856
1777045134.749647,29.7856
1777045135.9018335,29.7856
1777045137.0537274,29.7856
1777045138.2058086,29.7856
1777045139.3578787,29.7856
1777045140.5097804,29.7856
1777045141.6617174,29.7856
1777045142.8139293,29.7856
1777045143.9658723,29.7856
1777045145.1179729,29.7856
1777045146.269968,29.7856
1777045147.422303,28.7231
1777045148.5754619,28.7231
1777045149.7281907,28.6606
1777045150.8809571,28.6606
1777045152.0338078,28.7231
1777045153.1867797,28.6606
1777045154.339613,28.6606
1777045155.492284,28.6606
1777045156.6450462,28.6606
1777045157.7977839,28.6606
1777045158.9504929,28.6606
1777045160.1034982,28.5981
1777045161.2565887,28.5981
1777045162.4094064,28.5356
1777045163.5622249,28.5981
1777045164.7153141,28.5356
1777045165.8680587,28.5356
1777045167.0210016,28.5981
1777045168.1741009,28.5356
1777045169.3267326,28.5981
1777045170.4797976,28.5356
1777045171.632629,28.5981
1777045172.7855847,28.5356
1777045173.9383588,28.5356
1777045175.091169,28.5356
1777045176.244032,28.5356
1777045177.397012,28.5356
1777045178.5496562,28.5356
1777045179.7026591,28.4731
1777045180.8555095,28.4106
1777045182.0085394,28.4731
1777045183.1614165,28.4731
1777045184.3145676,28.4731
1777045185.467461,28.4731
1777045186.6203957,28.4731
1777045187.7732854,28.4731
1777045188.9261487,28.5356
1777045190.0790029,28.5356
1777045191.2319884,28.4731
1777045192.3849804,28.4731
1777045193.537823,28.4106
1777045194.690786,28.4106
1777045195.843512,28.4731
1777045196.9965513,28.4106
1777045198.1493723,28.4106
1777045199.302276,28.4731
1777045200.455229,28.4106
1777045201.6080253,28.4106
1777045202.760941,28.4106
1777045203.9137385,28.4106
1777045205.0666144,28.4106
1777045206.2195258,28.4731
1777045207.37249,28.4731
1777045208.5254767,28.4106
1777045209.678383,28.4731
1777045210.8312624,28.4731
1777045211.9843707,28.4731
1777045213.1372302,28.4731
1777045214.2902253,28.4731
1777045215.443131,28.4731
1777045216.596052,28.4731
1777045217.7491026,28.4731
1777045218.9020476,28.4731
1777045220.0548725,28.5356
1777045221.20779,28.5356
1777045222.3607526,28.5356
1777045223.5136027,28.4731
1777045225.002618,28.4106
1777045226.1555176,28.4731
1777045227.3085313,28.4731
1777045228.4612753,28.5356
1777045229.6143897,28.5981
1777045230.7673156,28.5981
1777045231.920305,28.5981
1777045233.0733168,28.4731
